"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ENSMUSG00000022508.6" -1.33514469895309 8.28146678325962 -17.8446009747065 1.98527614295893e-12 1.44925945300891e-10 18.5062680709134
"ENSMUSG00000044447.6" -1.25090061275847 8.22481860482386 -17.8424308551448 1.98917964138477e-12 1.44925945300891e-10 18.5123927938185
"ENSMUSG00000071757.11" -2.02388263123129 4.65399441534342 -17.8345671725621 2.00339245866107e-12 1.450604539512e-10 18.7807844778517
"ENSMUSG00000035273.15" 1.43739406968204 7.47699542308808 17.80762505363 2.05290631357775e-12 1.47733687474031e-10 18.5594376984915
"ENSMUSG00000063410.9" -0.843587847566344 8.92474615417906 -17.7995115248637 2.06806916140458e-12 1.47917385751682e-10 18.4116908965199
"ENSMUSG00000102037.2" -3.60397359834571 3.36298917357515 -17.7711984439831 2.12191477850541e-12 1.50848850617385e-10 18.1632257003616
"ENSMUSG00000060063.10" 0.837032541050748 8.81516721354849 17.7173419700137 2.22846660416566e-12 1.57378996079182e-10 18.3413243518336
"ENSMUSG00000017309.12" 1.92985853583411 5.59223847912862 17.7113800250897 2.24060463301137e-12 1.57378996079182e-10 18.6587774034531
"ENSMUSG00000022534.15" 1.51112059393025 6.9194838876367 17.7009805150571 2.26194457572573e-12 1.57932201626564e-10 18.5505631487661
"ENSMUSG00000064254.7" 2.14851274694383 5.03561483520876 17.68702442926 2.29092051330884e-12 1.59008861663389e-10 18.670633185084
"ENSMUSG00000021879.14" -3.31713735670427 5.73870798911743 -17.663004195057 2.34171350189741e-12 1.61578231630921e-10 18.6106619538434
"ENSMUSG00000041268.18" 2.50433344031468 4.85069531654439 17.6408830015608 2.38954325740049e-12 1.63914283095367e-10 18.6185252605975
"ENSMUSG00000003031.15" -1.03562987953579 8.10766102104472 -17.6156368918327 2.44539283462154e-12 1.66770104361109e-10 18.3254573386285
"ENSMUSG00000015027.12" 1.69885374965508 5.37178558408552 17.5914586003566 2.50017351621646e-12 1.69520435521498e-10 18.5643838840846
